OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
26FV2I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida2,10297,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV2R,2600 msnm,No Reproductiva,Recto,Hembra,corrida2,7743,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV2S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida2,10733,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV3I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida2,6501,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV3R,2600 msnm,No Reproductiva,Recto,Hembra,corrida2,6401,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV3S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida2,11144,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV4I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida2,10405,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV4R,2600 msnm,No Reproductiva,Recto,Hembra,corrida2,12455,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV4S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida2,10651,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV5I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida2,13672,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV5R,2600 msnm,No Reproductiva,Recto,Hembra,corrida2,13351,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV5S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida2,10426,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H2S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida3,2693,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H2I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida3,6409,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H2R,2600 msnm,No Reproductiva,Recto,Hembra,corrida3,33737,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H4S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida3,5408,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H4I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida3,1962,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H4R,2600 msnm,No Reproductiva,Recto,Hembra,corrida3,46132,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H7S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida3,7869,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H7I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida3,6591,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H7R,2600 msnm,No Reproductiva,Recto,Hembra,corrida3,33989,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H8S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida3,5865,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H8I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida3,7503,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H8R,2600 msnm,No Reproductiva,Recto,Hembra,corrida3,65875,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H3S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida3,10312,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H3I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida3,2635,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26H3R,2600 msnm,No Reproductiva,Recto,Hembra,corrida3,18750,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
